,Year,Month,Date,Daily Average Precipitation,NINO 3.4 SST Anomalies,DMI
116,1989,9,1/9/1989,2.36,-0.51,-0.119
117,1989,10,1/10/1989,3.104,-0.55,-0.253
118,1989,11,1/11/1989,5.117,-0.62,-0.215
119,1989,12,1/12/1989,1.714,-0.2,-0.097
120,1990,1,1/1/1990,1.743,-0.11,-0.033
121,1990,2,1/2/1990,0.383,0.01,-0.209
122,1990,3,1/3/1990,1.016,-0.18,-0.043
123,1990,4,1/4/1990,2.037,-0.06,-0.31
124,1990,5,1/5/1990,2.7,0.04,-0.269
125,1990,6,1/6/1990,1.822,-0.26,-0.455
126,1990,7,1/7/1990,1.379,-0.03,-0.149
127,1990,8,1/8/1990,1.371,0.09,-0.279
128,1990,9,1/9/1990,2.68,-0.03,-0.077
129,1990,10,1/10/1990,2.277,0.18,-0.186
130,1990,11,1/11/1990,2.354,-0.09,0.029
131,1990,12,1/12/1990,2.955,0.22,0.073
132,1991,1,1/1/1991,1.686,0.33,0.131
133,1991,2,1/2/1991,0.7637,0.14,-0.017
134,1991,3,1/3/1991,1.635,-0.08,0.063
135,1991,4,1/4/1991,2.877,0.08,0.364
136,1991,5,1/5/1991,2.912,0.25,0.459
137,1991,6,1/6/1991,1.727,0.39,0.376
138,1991,7,1/7/1991,1.041,0.47,0.366
139,1991,8,1/8/1991,1.903,0.6,0.17
140,1991,9,1/9/1991,0.8945,0.31,0.205
141,1991,10,1/10/1991,0.89,0.64,0.129
142,1991,11,1/11/1991,3.389,0.89,0.164
143,1991,12,1/12/1991,6.242,1.5,0.153
144,1992,1,1/1/1992,1.311,1.67,-0.256
145,1992,2,1/2/1992,2.068,1.55,-0.309
146,1992,3,1/3/1992,2.102,1.16,-0.571
147,1992,4,1/4/1992,2.121,1,-0.478
148,1992,5,1/5/1992,2.684,0.91,-0.47
149,1992,6,1/6/1992,2.318,0.42,-0.747
150,1992,7,1/7/1992,2.61,0.15,-0.382
151,1992,8,1/8/1992,1.371,-0.08,-0.656
152,1992,9,1/9/1992,2.006,-0.16,-0.727
153,1992,10,1/10/1992,2.424,-0.5,-0.467
154,1992,11,1/11/1992,4.684,-0.18,-0.276
155,1992,12,1/12/1992,5.66,0.14,-0.247
156,1993,1,1/1/1993,2.078,0.16,-0.131
157,1993,2,1/2/1993,0.975,0.34,0.115
158,1993,3,1/3/1993,3.559,0.23,-0.195
159,1993,4,1/4/1993,3.53,0.32,-0.106
160,1993,5,1/5/1993,2.33,0.65,0.053
161,1993,6,1/6/1993,2.457,0.15,0.006
162,1993,7,1/7/1993,3.092,0.22,-0.055
163,1993,8,1/8/1993,1.479,-0.04,-0.193
164,1993,9,1/9/1993,1.562,0.24,-0.064
165,1993,10,1/10/1993,3.252,0.19,0.004
166,1993,11,1/11/1993,3.88,0.08,-0.026
167,1993,12,1/12/1993,4.11,0.1,-0.136
168,1994,1,1/1/1994,1.137,0.02,0.09
169,1994,2,1/2/1994,2.678,-0.08,-0.066
170,1994,3,1/3/1994,4.785,0.15,0.302
171,1994,4,1/4/1994,3.148,0.08,0.426
172,1994,5,1/5/1994,2.818,0.12,0.624
173,1994,6,1/6/1994,2.031,0.13,0.546
174,1994,7,1/7/1994,0.8335,-0.01,0.654
175,1994,8,1/8/1994,1.732,0.4,0.923
176,1994,9,1/9/1994,0.6167,0.28,0.635
177,1994,10,1/10/1994,1.504,0.6,0.867
178,1994,11,1/11/1994,4.188,0.91,0.41
179,1994,12,1/12/1994,3.518,1.15,0.332
180,1995,1,1/1/1995,3.188,0.75,0.205
181,1995,2,1/2/1995,5.484,0.64,0.243
182,1995,3,1/3/1995,2.021,0.3,0.05
183,1995,4,1/4/1995,2.72,0.07,-0.146
184,1995,5,1/5/1995,2.086,-0.21,-0.172
185,1995,6,1/6/1995,1.52,-0.36,0.036
186,1995,7,1/7/1995,3.854,-0.21,-0.073
187,1995,8,1/8/1995,3.592,-0.57,-0.032
188,1995,9,1/9/1995,2.594,-0.66,-0.074
189,1995,10,1/10/1995,1.732,-0.94,-0.207
190,1995,11,1/11/1995,3.414,-1.01,-0.171
191,1995,12,1/12/1995,1.872,-0.91,0.16
192,1996,1,1/1/1996,1.882,-0.83,0.045
193,1996,2,1/2/1996,2.771,-0.77,0.047
194,1996,3,1/3/1996,2.008,-0.66,0.015
195,1996,4,1/4/1996,2.893,-0.49,-0.293
196,1996,5,1/5/1996,2.574,-0.51,-0.186
197,1996,6,1/6/1996,2.371,-0.48,-0.281
198,1996,7,1/7/1996,2.068,-0.37,-0.546
199,1996,8,1/8/1996,4.113,-0.31,-0.568
200,1996,9,1/9/1996,1.753,-0.35,-0.606
201,1996,10,1/10/1996,2.877,-0.55,-0.949
202,1996,11,1/11/1996,2.201,-0.43,-0.674
203,1996,12,1/12/1996,2.354,-0.6,-0.344
204,1997,1,1/1/1997,1.1,-0.61,-0.045
205,1997,2,1/2/1997,1.748,-0.39,0.159
206,1997,3,1/3/1997,2.062,-0.36,0.143
207,1997,4,1/4/1997,2.826,-0.11,0.129
208,1997,5,1/5/1997,1.414,0.4,0.105
209,1997,6,1/6/1997,1.07,0.81,0.195
210,1997,7,1/7/1997,0.4429,1.27,0.544
211,1997,8,1/8/1997,1.961,1.68,0.746
212,1997,9,1/9/1997,0.3486,1.84,0.877
213,1997,10,1/10/1997,1.251,1.96,1.033
214,1997,11,1/11/1997,1.842,2.11,1.402
215,1997,12,1/12/1997,3.879,2.1,0.932
216,1998,1,1/1/1998,3.08,2.03,0.59
217,1998,2,1/2/1998,0.723,1.74,0.502
218,1998,3,1/3/1998,0.9653,1.18,0.045
219,1998,4,1/4/1998,1.99,0.5,0.122
220,1998,5,1/5/1998,3.844,0.45,0.219
221,1998,6,1/6/1998,3.488,-0.75,0.261
222,1998,7,1/7/1998,3.363,-1.15,-0.288
223,1998,8,1/8/1998,4.004,-1.2,-0.467
224,1998,9,1/9/1998,2.773,-1.03,-0.39
225,1998,10,1/10/1998,3.117,-1.34,-0.584
226,1998,11,1/11/1998,1.687,-1.31,-0.53
227,1998,12,1/12/1998,4.613,-1.73,-0.266
228,1999,1,1/1/1999,3.111,-1.58,-0.065
229,1999,2,1/2/1999,1.312,-1.1,0.042
230,1999,3,1/3/1999,2.746,-0.89,0.202
231,1999,4,1/4/1999,1.552,-0.99,0.073
232,1999,5,1/5/1999,2.846,-0.92,-0.106
233,1999,6,1/6/1999,1.7295,-1.08,-0.032
234,1999,7,1/7/1999,2.227,-1.03,0.208
235,1999,8,1/8/1999,2.896,-1.22,0.135
236,1999,9,1/9/1999,2.123,-1.03,0.056
237,1999,10,1/10/1999,3.148,-1.19,-0.03
238,1999,11,1/11/1999,3.848,-1.63,0.007
239,1999,12,1/12/1999,3.572,-1.65,-0.079
240,2000,1,1/1/2000,3.432,-1.77,-0.06
241,2000,2,1/2/2000,2.893,-1.52,0.071
242,2000,3,1/3/2000,3.139,-1.13,0.24
243,2000,4,1/4/2000,3.62,-0.9,0.217
244,2000,5,1/5/2000,1.176,-0.97,0.192
245,2000,6,1/6/2000,2.117,-0.7,0.091
246,2000,7,1/7/2000,2.047,-0.73,0.174
247,2000,8,1/8/2000,1.598,-0.51,0.243
248,2000,9,1/9/2000,2.16,-0.52,0.01
249,2000,10,1/10/2000,1.868,-0.71,0.017
250,2000,11,1/11/2000,3.744,-0.9,-0.183
251,2000,12,1/12/2000,2.604,-1.05,-0.178
252,2001,1,1/1/2001,4.89,-0.76,-0.366
253,2001,2,1/2/2001,1.342,-0.56,0.063
254,2001,3,1/3/2001,2.875,-0.37,0.09
255,2001,4,1/4/2001,3.145,-0.56,0.212
256,2001,5,1/5/2001,2.18,-0.46,0.217
257,2001,6,1/6/2001,2.08,-0.16,0.241
258,2001,7,1/7/2001,1.279,-0.11,-0.043
259,2001,8,1/8/2001,1.956,-0.09,-0.189
260,2001,9,1/9/2001,2.465,-0.19,-0.117
261,2001,10,1/10/2001,3.13,-0.25,-0.291
262,2001,11,1/11/2001,1.981,-0.48,-0.122
263,2001,12,1/12/2001,5.277,-0.53,0.019
264,2002,1,1/1/2002,2.02,-0.2,-0.077
265,2002,2,1/2/2002,1.1455,0.03,-0.018
266,2002,3,1/3/2002,1.83,-0.06,0.108
267,2002,4,1/4/2002,2.729,0.03,-0.277
268,2002,5,1/5/2002,2.418,0.19,-0.249
269,2002,6,1/6/2002,1.582,0.6,-0.076
270,2002,7,1/7/2002,2.102,0.58,-0.164
271,2002,8,1/8/2002,1.475,0.66,-0.096
272,2002,9,1/9/2002,1.863,0.85,0.392
273,2002,10,1/10/2002,1.28,1.02,0.565
274,2002,11,1/11/2002,4.1,1.2,0.22
275,2002,12,1/12/2002,4.184,1.3,-0.088
276,2003,1,1/1/2003,4.14,0.88,-0.174
277,2003,2,1/2/2003,2.137,0.65,0.097
278,2003,3,1/3/2003,2.096,0.5,0.061
279,2003,4,1/4/2003,4.38,-0.14,-0.024
280,2003,5,1/5/2003,1.396,-0.6,-0.084
281,2003,6,1/6/2003,1.831,-0.34,0.252
282,2003,7,1/7/2003,2.455,0.04,0.228
283,2003,8,1/8/2003,2.982,0.04,0.22
284,2003,9,1/9/2003,3.305,0.18,0.045
285,2003,10,1/10/2003,3.709,0.42,-0.084
286,2003,11,1/11/2003,2.55,0.21,-0.036
287,2003,12,1/12/2003,3.643,0.34,0.258
288,2004,1,1/1/2004,5.33,0.22,0.109
289,2004,2,1/2/2004,0.795,0.16,0.194
290,2004,3,1/3/2004,5.305,-0.18,0.177
291,2004,4,1/4/2004,2.604,-0.04,-0.005
292,2004,5,1/5/2004,2.11,0.07,-0.485
293,2004,6,1/6/2004,1.308,0,-0.27
294,2004,7,1/7/2004,2.56,0.47,-0.204
295,2004,8,1/8/2004,1.657,0.61,-0.02
296,2004,9,1/9/2004,2.13,0.67,0
297,2004,10,1/10/2004,2.232,0.64,0.155
298,2004,11,1/11/2004,3.73,0.59,-0.03
299,2004,12,1/12/2004,2.062,0.63,-0.063
300,2005,1,1/1/2005,1.547,0.61,-0.058
301,2005,2,1/2/2005,0.797,0.24,-0.48
302,2005,3,1/3/2005,1.629,0.27,-0.332
303,2005,4,1/4/2005,2.57,0.13,0.16
304,2005,5,1/5/2005,4.566,0.22,0.046
305,2005,6,1/6/2005,1.281,0.2,-0.062
306,2005,7,1/7/2005,2.82,0.08,-0.287
307,2005,8,1/8/2005,1.725,0.06,-0.233
308,2005,9,1/9/2005,2.727,-0.12,-0.428
309,2005,10,1/10/2005,4.18,-0.07,-0.276
310,2005,11,1/11/2005,3.143,-0.54,-0.149
311,2005,12,1/12/2005,2.8,-0.8,-0.23
312,2006,1,1/1/2006,5.215,-0.93,-0.07
313,2006,2,1/2/2006,1.409,-0.67,-0.225
314,2006,3,1/3/2006,1.334,-0.66,-0.126
315,2006,4,1/4/2006,4.32,-0.28,0.06
316,2006,5,1/5/2006,2.379,-0.06,-0.128
317,2006,6,1/6/2006,3.05,0.08,0.055
318,2006,7,1/7/2006,2.146,-0.01,0.137
319,2006,8,1/8/2006,1.904,0.33,0.341
320,2006,9,1/9/2006,1.708,0.53,0.534
321,2006,10,1/10/2006,1.176,0.65,0.736
322,2006,11,1/11/2006,3.75,0.85,0.624
323,2006,12,1/12/2006,9.03,1.1,0.241
324,2007,1,1/1/2007,5.223,0.75,0.29
325,2007,2,1/2/2007,2.352,0.11,0.23
326,2007,3,1/3/2007,3.137,-0.08,0.216
327,2007,4,1/4/2007,4.723,-0.1,0.175
328,2007,5,1/5/2007,2.223,-0.43,0.349
329,2007,6,1/6/2007,2.387,-0.14,0.144
330,2007,7,1/7/2007,2.785,-0.41,0.141
331,2007,8,1/8/2007,3.107,-0.58,0.349
332,2007,9,1/9/2007,2.562,-0.86,0.341
333,2007,10,1/10/2007,2.97,-1.19,0.227
334,2007,11,1/11/2007,3.512,-1.42,0.1
335,2007,12,1/12/2007,4.754,-1.18,-0.157
336,2008,1,1/1/2008,2.822,-1.59,0.18
337,2008,2,1/2/2008,1.182,-1.49,0.008
338,2008,3,1/3/2008,4.37,-0.94,0.197
339,2008,4,1/4/2008,3.107,-0.85,-0.078
340,2008,5,1/5/2008,1.763,-0.69,0.258
341,2008,6,1/6/2008,2.172,-0.64,0.329
342,2008,7,1/7/2008,1.782,-0.27,0.343
343,2008,8,1/8/2008,2.834,-0.07,0.237
344,2008,9,1/9/2008,3.512,-0.24,0.192
345,2008,10,1/10/2008,2.715,-0.2,0.188
346,2008,11,1/11/2008,3.318,-0.35,-0.005
347,2008,12,1/12/2008,2.57,-0.82,0.016
348,2009,1,1/1/2009,0.2023,-0.8,0.097
349,2009,2,1/2/2009,2.107,-0.6,0.243
350,2009,3,1/3/2009,3.627,-0.62,0.2
351,2009,4,1/4/2009,2.834,-0.16,0.201
352,2009,5,1/5/2009,2.09,0.18,0.336
353,2009,6,1/6/2009,0.974,0.42,0.214
354,2009,7,1/7/2009,1.613,0.53,-0.095
355,2009,8,1/8/2009,2.23,0.69,0.008
356,2009,9,1/9/2009,1.885,0.71,0.003
357,2009,10,1/10/2009,2.451,0.92,0.147
358,2009,11,1/11/2009,3.31,1.43,0.056
359,2009,12,1/12/2009,2.5,1.68,0.23
360,2010,1,1/1/2010,1.105,1.53,0.359
361,2010,2,1/2/2010,0.6743,1.19,0.103
362,2010,3,1/3/2010,2.791,1.11,0.558
363,2010,4,1/4/2010,3.303,0.59,0.445
364,2010,5,1/5/2010,2.203,-0.11,0.05
365,2010,6,1/6/2010,3.861,-0.55,-0.026
366,2010,7,1/7/2010,5.062,-0.92,0.096
367,2010,8,1/8/2010,2.305,-1.21,0.051
368,2010,9,1/9/2010,2.693,-1.31,-0.162
369,2010,10,1/10/2010,2.12,-1.41,-0.277
370,2010,11,1/11/2010,3.543,-1.44,-0.372
371,2010,12,1/12/2010,1.735,-1.21,-0.142
372,2011,1,1/1/2011,5.074,-1.48,0.257
373,2011,2,1/2/2011,1.659,-1.19,0.322
374,2011,3,1/3/2011,2.652,-0.83,0.467
375,2011,4,1/4/2011,3.385,-0.76,0.229
376,2011,5,1/5/2011,1.951,-0.39,-0.01
377,2011,6,1/6/2011,3.355,-0.31,0.169
378,2011,7,1/7/2011,0.912,-0.19,0.319
379,2011,8,1/8/2011,1.93,-0.42,0.457
380,2011,9,1/9/2011,2.486,-0.67,0.308
381,2011,10,1/10/2011,4.445,-0.71,0.516
382,2011,11,1/11/2011,4.527,-0.98,0.459
383,2011,12,1/12/2011,3.936,-0.99,-0.059
384,2012,1,1/1/2012,2.096,-0.65,0.111
385,2012,2,1/2/2012,1.406,-0.55,0.002
386,2012,3,1/3/2012,3.617,-0.44,0.126
387,2012,4,1/4/2012,3.58,-0.51,-0.196
388,2012,5,1/5/2012,3.361,-0.19,-0.29
389,2012,6,1/6/2012,1.171,0.24,0.115
390,2012,7,1/7/2012,2.176,0.27,0.643
391,2012,8,1/8/2012,1.673,0.68,0.764
392,2012,9,1/9/2012,1.3545,0.44,0.559
393,2012,10,1/10/2012,2.387,0.36,0.27
394,2012,11,1/11/2012,3.707,0.5,0.024
395,2012,12,1/12/2012,4.57,-0.47,0.337
396,2013,1,1/1/2013,2.398,-0.48,0.001
397,2013,2,1/2/2013,4.83,-0.48,0.269
398,2013,3,1/3/2013,2.277,-0.22,0.183
399,2013,4,1/4/2013,2.562,0.11,-0.222
400,2013,5,1/5/2013,2.186,-0.3,-0.426
401,2013,6,1/6/2013,1.527,-0.34,-0.383
402,2013,7,1/7/2013,1.522,-0.26,-0.083
403,2013,8,1/8/2013,1.912,-0.47,-0.082
404,2013,9,1/9/2013,3.617,0.05,-0.204
405,2013,10,1/10/2013,3.234,-0.15,-0.009
406,2013,11,1/11/2013,4.14,-0.09,0.323
407,2013,12,1/12/2013,3.404,-0.18,0.21
408,2014,1,1/1/2014,0.876,-0.49,-0.036
409,2014,2,1/2/2014,0.2578,-0.85,-0.009
410,2014,3,1/3/2014,1.334,-0.34,-0.051
411,2014,4,1/4/2014,2.367,0.18,0.017
412,2014,5,1/5/2014,2.887,0.45,-0.012
413,2014,6,1/6/2014,1.9795,0.47,0.086
414,2014,7,1/7/2014,2.395,-0.03,-0.266
415,2014,8,1/8/2014,2.553,-0.01,-0.26
416,2014,9,1/9/2014,1.609,0.31,-0.039
417,2014,10,1/10/2014,1.586,0.43,0.3
418,2014,11,1/11/2014,3.586,0.75,0.133
419,2014,12,1/12/2014,4.016,0.63,0.116
420,2015,1,1/1/2015,0.994,0.51,-0.034
421,2015,2,1/2/2015,0.723,0.75,-0.265
422,2015,3,1/3/2015,1.854,0.44,-0.141
423,2015,4,1/4/2015,2.486,0.82,0.067
424,2015,5,1/5/2015,2.215,0.83,0.32
425,2015,6,1/6/2015,1.04,1.02,0.41
426,2015,7,1/7/2015,1.166,1.26,0.322
427,2015,8,1/8/2015,1.845,1.65,0.68
428,2015,9,1/9/2015,1.368,1.79,0.4
429,2015,10,1/10/2015,1.138,2.21,0.642
430,2015,11,1/11/2015,2.97,2.72,0.47
431,2015,12,1/12/2015,3.643,2.39,0.341
432,2016,1,1/1/2016,2.164,2.47,0.331
433,2016,2,1/2/2016,2.385,2.23,-0.03
434,2016,3,1/3/2016,0.8574,1.61,0.091
435,2016,4,1/4/2016,2.193,0.98,0.222
436,2016,5,1/5/2016,2.57,0.27,-0.034
437,2016,6,1/6/2016,2.771,0.02,-0.329
438,2016,7,1/7/2016,2.994,-0.42,-0.661
439,2016,8,1/8/2016,1.537,-0.49,-0.332
440,2016,9,1/9/2016,1.831,-0.43,-0.331
441,2016,10,1/10/2016,2.623,-0.7,-0.212
442,2016,11,1/11/2016,3.066,-0.64,-0.259
443,2016,12,1/12/2016,2.379,-0.33,-0.241
444,2017,1,1/1/2017,3.06,-0.26,-0.02
445,2017,2,1/2/2017,2.137,0.1,0.181
446,2017,3,1/3/2017,2.36,0.21,0.457
447,2017,4,1/4/2017,3.264,0.36,0.574
448,2017,5,1/5/2017,3.014,0.42,0.616
449,2017,6,1/6/2017,1.769,0.39,0.537
450,2017,7,1/7/2017,1.565,0.28,0.617
451,2017,8,1/8/2017,1.736,-0.06,0.461
452,2017,9,1/9/2017,2.473,-0.32,0.14
453,2017,10,1/10/2017,2.266,-0.37,0.175
454,2017,11,1/11/2017,4.05,-0.91,0.412
455,2017,12,1/12/2017,3.588,-0.93,0.179
456,2018,1,1/1/2018,4.254,-0.7,-0.135
457,2018,2,1/2/2018,0.754,-0.67,0.295
458,2018,3,1/3/2018,1.721,-0.73,-0.02
459,2018,4,1/4/2018,2.705,-0.49,-0.008
460,2018,5,1/5/2018,2.873,-0.11,0.202
461,2018,6,1/6/2018,3.363,0.15,0.269
462,2018,7,1/7/2018,1.449,0.22,0.15
463,2018,8,1/8/2018,1.092,0.28,0.234
464,2018,9,1/9/2018,2.172,0.33,0.71
465,2018,10,1/10/2018,3.242,0.86,0.844
466,2018,11,1/11/2018,3.9,0.86,0.623
467,2018,12,1/12/2018,2.842,0.9,0.379
468,2019,1,1/1/2019,1.118,0.67,0.452
469,2019,2,1/2/2019,0.762,0.71,0.496
470,2019,3,1/3/2019,1.498,0.97,0.325
471,2019,4,1/4/2019,2.613,0.72,0.333
472,2019,5,1/5/2019,2.18,0.75,0.619
473,2019,6,1/6/2019,2.81,0.6,0.719
474,2019,7,1/7/2019,0.942,0.42,0.693
475,2019,8,1/8/2019,0.3884,0.15,0.548
476,2019,9,1/9/2019,1.25,-0.01,0.999
477,2019,10,1/10/2019,2.025,0.52,1.123
478,2019,11,1/11/2019,2.514,0.46,0.958
479,2019,12,1/12/2019,3.643,0.44,0.312
480,2020,1,1/1/2020,1.8,0.52,0.238
481,2020,2,1/2/2020,1.196,0.35,0.134
482,2020,3,1/3/2020,1.592,0.46,0.119
483,2020,4,1/4/2020,3.293,0.41,0.064
484,2020,5,1/5/2020,2.883,-0.21,0.378
485,2020,6,1/6/2020,3.848,-0.27,0.568
486,2020,7,1/7/2020,2.584,-0.14,0.417
487,2020,8,1/8/2020,2.018,-0.52,-0.07
488,2020,9,1/9/2020,3.613,-0.64,-0.084
489,2020,10,1/10/2020,2.035,-1.13,0.233
490,2020,11,1/11/2020,3.674,-1.23,0.143
491,2020,12,1/12/2020,3.2,-0.99,0.1
492,2021,1,1/1/2021,5.51,-0.9,0.116
493,2021,2,1/2/2021,0.466,-0.87,0.323
494,2021,3,1/3/2021,3.26,-0.55,0.367
495,2021,4,1/4/2021,4.297,-0.57,0.325
496,2021,5,1/5/2021,2.965,-0.32,0.089
497,2021,6,1/6/2021,2.479,-0.04,0.112
498,2021,7,1/7/2021,2.564,-0.19,-0.132
499,2021,8,1/8/2021,4.97,-0.28,0.014
500,2021,9,1/9/2021,3.316,-0.27,0.048
501,2021,10,1/10/2021,1.902,-0.77,0.068
502,2021,11,1/11/2021,3.19,-0.85,0.192
503,2021,12,1/12/2021,2.334,-1.05,-0.05
